Datetime,Tweet Id,Text,Username
2021-01-20 18:28:18+00:00,1.35196E+18,The five-inch thick Bible features a Celtic cross on the cover and has been in the Biden family since 1893. The President has used it each time he has taken an oath of office. https://t.co/Y6DA4UWGot,CNN
2021-01-20 18:08:28+00:00,1.35195E+18,"Amanda Gorman, the nation's first-ever youth poet laureate, called for Americans to ""leave behind a country better than the one we were left"" and unify together as she spoke at President Joe Biden's inauguration. https://t.co/cqB4pZpaAv https://t.co/BnAImxmhq6",CNN
2021-01-20 17:59:36+00:00,1.35195E+18,Vice President Harris and her husband Doug Emhoff escorted former Vice President Mike Pence and his wife Karen Pence down the steps of the US Capitol after the inauguration ceremony https://t.co/qNDfmZZIju https://t.co/iZC9xn4hFo,CNN
2021-01-20 17:42:16+00:00,1.35195E+18,"Pres. Biden: ""I will defend the Constitution. I'll defend our democracy. I'll defend America… And together we shall write an American story of hope, not fear, of unity not division. Of light, not darkness. A story of decency and dignity, love and healing, greatness and goodness” https://t.co/PEUPwKBhz4",CNN
2021-01-20 17:42:07+00:00,1.35195E+18,Joe Biden is sworn in as the 46th president of the United States https://t.co/ljL2LMOQEm https://t.co/JddDa2wfYH,CNN
2021-01-20 17:39:56+00:00,1.35195E+18,Kamala Harris is sworn in as vice president of the United States. She is the first woman and the first person of Black and South Asian descent to hold the office. https://t.co/LHQqqx9aUJ https://t.co/f8Zk37tnFO,CNN
2021-01-20 17:24:47+00:00,1.35194E+18,"President Biden’s message to those who didn't support him in the election: “Hear me out as we move forward… I pledge this to you: I will be a president for all Americans, all Americans. And I promise you I will fight as hard for those who did not support me as for those who did"" https://t.co/xOcibNuqbb",CNN
2021-01-20 17:14:07+00:00,1.35194E+18,"President Biden: ""This is our historic moment of crisis and challenge, and unity is the path forward and we must meet this moment as the United States of America. If we do that, I guarantee you we will not fail."" https://t.co/tcmAzrzqTx https://t.co/PrXqkO5Q81",CNN
2021-01-20 17:10:56+00:00,1.35194E+18,"“This is democracy’s day, a day of history and hope, of renewal and resolve."" President Biden calls today “America’s day” in his inauguration speech at the US Capitol. https://t.co/uffbnn6yTP https://t.co/RYLlYXZKgF",CNN
2021-01-20 17:06:41+00:00,1.35194E+18,President Joe Biden and Vice President Kamala Harris have taken their oaths of office in a historic inauguration https://t.co/pFwFyvItGi,CNN
2021-01-20 16:53:42+00:00,1.35194E+18,BREAKING: Joe Biden is sworn in as the 46th president of the United States https://t.co/tcmAzrzqTx https://t.co/ShNj0rc7oT,CNN
2021-01-20 16:48:29+00:00,1.35193E+18,BREAKING: Kamala Harris is sworn in as vice president of the United States. She is the first woman and the first person of Black and South Asian descent to hold the office https://t.co/tcmAzrzqTx https://t.co/ojeQDh6B1l,CNN
2021-01-20 16:42:19+00:00,1.35193E+18,Lady Gaga performs the national anthem at the inauguration of President-elect Joe Biden https://t.co/tcmAzrzqTx https://t.co/sQZv08Twjk,CNN
2021-01-20 16:22:19+00:00,1.35193E+18,President-elect Joe Biden was just introduced for his inauguration at the US Capitol and is set to be sworn in as the 46th president of the United States. https://t.co/tcmAzrzqTx https://t.co/5PnKJYzhjk,CNN
2021-01-20 16:18:02+00:00,1.35193E+18,"Vice President-elect Kamala Harris was just introduced at the inauguration ceremony. Harris will soon take the oath of office, becoming the first female, first Black and first South Asian vice president. https://t.co/tcmAzrzqTx https://t.co/9i3dNAbQRc",CNN
2021-01-20 16:09:32+00:00,1.35192E+18,Outgoing Vice President Mike Pence and second lady Karen Pence arrive on the Capitol platform https://t.co/tcmAzrzqTx https://t.co/0QHlZ4qbIi,CNN
2021-01-20 16:08:28+00:00,1.35192E+18,"Family members of Jacob Blake and Breonna Taylor say they will attend the inauguration.
 
“It’s clear to us that they understand what we did to help them get in office,” Blake’s uncle says. (Corrects family member’s relation to Blake) https://t.co/eR6bftQKJB",CNN
2021-01-20 16:05:05+00:00,1.35192E+18,"Vice President-elect Kamala Harris is wearing two Black designers today: Christopher John Rogers, from Baton Rouge, Louisiana, and Sergio Hudson of South Carolina. https://t.co/nOFptsZ5lg",CNN
2021-01-20 16:01:02+00:00,1.35192E+18,"Former Presidents Obama, Clinton and Bush have arrived at the inauguration ceremony at the US Capitol.

Follow the latest updates: https://t.co/tcmAzrzqTx https://t.co/q579XXfE1N",CNN
2021-01-20 16:00:31+00:00,1.35192E+18,"Howard University’s marching band has taken part in presidential inaugurations before. But during today’s inaugural parade, they’ll be escorting one of their own. https://t.co/WKzmhTgyJI",CNN
2021-01-20 15:48:03+00:00,1.35192E+18,"""We firmly believe that what unites us as Americans is far greater than anything that may ever divide us,"" 17 House GOP freshmen wrote in a letter to Biden. https://t.co/kbxlfGA48a https://t.co/qFKqkdnvSh",CNN
